# cmd: kubectl exec gpu-health-wb -- nvidia-smi dmon -s pucvmet -c 20
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    5    696     56     57    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    6    696     64     60    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      1 
    0    697     63     63    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    1    699     63     62    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    2    698     62     63    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    3    697     63     62    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     20      8 
    4    698     67     64    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      8 
    5    699     57     57    100     43      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22     10 
    6    697     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    697     63     63    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    1    701     63     62    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     21      9 
    2    698     62     63    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21     10 
    3    697     63     61    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     20     10 
    4    698     67     64    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21     10 
    5    700     57     57    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    6    699     64     61    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22     10 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
